Tract,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
17031838600,0,204.0,12.77,0,0,0,0,0,1,51.2,0,0,0,0,0,0,0,0,1215.0,495.0,167.0,74.0,1481.0,4.0,0.0,2.0,37.0,66.0,303.0,292.0
17031838700,0,1.0,0.02,0,0,0,0,0,1,45.1,0,0,0,0,0,0,0,0,3090.0,1571.0,365.0,54.0,4350.0,5.0,0.0,13.0,62.0,84.0,740.0,881.0
17031838800,0,1.0,0.03,1,1,1,1,1,1,42.5,1,1,1,1,1,0,0,1,1906.0,1059.0,355.0,685.0,1772.0,3.0,0.0,17.0,756.0,1331.0,343.0,495.0
17031839000,0,296.0,4.05,0,0,0,0,0,0,16.7,0,0,0,0,0,0,0,0,1997.0,457.0,566.0,4989.0,905.0,1052.0,6.0,10.0,349.0,450.0,2021.0,195.0
17031839100,0,1363.0,31.33,0,0,0,0,0,0,11.4,0,0,0,0,0,0,0,0,925.0,92.0,137.0,2737.0,607.0,712.0,3.0,13.0,278.0,379.0,1835.0,67.0
17031839200,0,3.0,0.12,0,1,0,1,1,1,22.8,0,1,0,1,0,0,0,1,1067.0,363.0,390.0,269.0,1834.0,334.0,0.0,16.0,92.0,77.0,511.0,220.0
17031839500,0,176.0,11.39,0,0,0,0,0,1,32.5,0,0,0,0,0,0,0,0,641.0,179.0,472.0,171.0,1257.0,79.0,0.0,5.0,33.0,23.0,266.0,243.0
17031839600,0,221.0,11.32,0,0,0,0,0,1,13.3,0,0,0,0,0,0,0,0,545.0,334.0,492.0,90.0,1789.0,18.0,1.0,3.0,51.0,64.0,341.0,176.0
17031839700,0,0.0,0.0,0,1,0,1,1,1,20.6,0,1,0,1,0,0,0,1,1648.0,957.0,404.0,2440.0,117.0,717.0,0.0,44.0,1008.0,1778.0,485.0,283.0
17031839800,0,12.0,0.44,0,1,0,0,0,1,17.5,0,1,0,1,0,0,0,0,985.0,484.0,327.0,1503.0,30.0,832.0,0.0,8.0,357.0,611.0,343.0,72.0
17031839900,0,0.0,0.0,0,0,0,0,1,0,14.8,0,1,0,1,0,0,0,1,1373.0,822.0,353.0,2763.0,65.0,560.0,5.0,44.0,643.0,1159.0,263.0,286.0
17031840000,0,0.0,0.0,0,0,0,0,1,0,13.9,1,1,1,1,1,0,0,1,873.0,593.0,250.0,1435.0,33.0,880.0,0.0,11.0,336.0,586.0,188.0,180.0
17031840100,0,3.0,0.1,0,0,0,0,0,1,15.4,0,0,0,0,0,0,0,0,1574.0,611.0,295.0,886.0,11.0,1815.0,1.0,2.0,220.0,371.0,219.0,192.0
17031840200,0,3.0,0.13,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,955.0,537.0,233.0,651.0,55.0,1359.0,1.0,11.0,261.0,491.0,115.0,150.0
17031840300,0,0.0,0.0,0,1,0,0,0,1,21.9,0,1,0,1,0,0,0,0,1657.0,1048.0,310.0,1710.0,104.0,706.0,0.0,46.0,1384.0,2495.0,110.0,256.0
17031840400,0,13.0,0.39,0,0,0,0,0,1,21.8,0,0,0,0,0,0,0,0,1592.0,771.0,333.0,1269.0,73.0,1052.0,0.0,23.0,909.0,1615.0,206.0,155.0
17031840700,0,137.0,3.22,0,0,0,0,0,1,34.5,0,0,0,0,0,0,0,0,2290.0,1441.0,192.0,1707.0,281.0,43.0,3.0,79.0,2136.0,3687.0,277.0,272.0
17031840800,0,0.0,0.0,0,0,0,0,0,1,40.0,0,0,0,0,0,0,0,0,2238.0,1357.0,166.0,1680.0,29.0,13.0,0.0,96.0,1898.0,3638.0,215.0,312.0
17031841000,0,0.0,0.0,0,0,0,0,0,0,17.5,0,1,0,1,0,0,0,0,259.0,114.0,137.0,213.0,435.0,161.0,0.0,1.0,39.0,39.0,104.0,82.0
17031841100,0,2.0,0.03,0,0,0,0,0,1,31.2,0,0,0,0,0,0,0,0,4343.0,1273.0,1280.0,401.0,260.0,6447.0,2.0,0.0,144.0,138.0,1194.0,1002.0
17031841200,0,1.0,0.02,0,0,0,0,0,1,19.1,0,0,0,0,0,0,0,0,2257.0,1618.0,314.0,2340.0,242.0,17.0,7.0,83.0,2573.0,4501.0,478.0,441.0
17031841300,0,8.0,0.18,0,0,0,0,0,1,21.1,0,0,0,0,0,0,0,0,1680.0,1238.0,299.0,2383.0,113.0,37.0,1.0,41.0,1888.0,3732.0,412.0,185.0
17031841400,0,29.0,1.86,0,0,0,0,0,1,31.8,0,0,0,0,0,0,0,0,583.0,496.0,131.0,53.0,1468.0,0.0,0.0,10.0,28.0,77.0,194.0,115.0
17031841500,0,68.0,2.3,0,1,0,0,0,1,35.9,0,1,0,1,0,0,0,0,1898.0,1166.0,191.0,50.0,2814.0,2.0,0.0,28.0,68.0,81.0,367.0,409.0
17031841600,0,195.0,16.72,0,0,0,0,0,1,52.4,0,0,0,0,0,0,0,0,496.0,369.0,95.0,52.0,1070.0,8.0,0.0,2.0,34.0,63.0,95.0,82.0
17031841700,0,0.0,0.0,0,0,0,0,0,1,39.4,0,0,0,0,0,0,0,0,1421.0,340.0,352.0,248.0,837.0,3.0,0.0,10.0,344.0,546.0,403.0,322.0
17031841800,0,6.0,0.24,0,0,0,0,0,1,26.4,0,0,0,0,0,0,0,0,1178.0,778.0,298.0,37.0,2408.0,0.0,2.0,7.0,51.0,40.0,212.0,351.0
17031841900,0,1784.0,36.67,0,0,0,0,0,0,18.2,0,1,0,1,0,0,0,0,918.0,410.0,87.0,2601.0,815.0,1042.0,6.0,16.0,385.0,493.0,253.0,11.0
17031842000,1,2072.0,75.51,0,1,0,0,0,1,20.8,0,1,0,1,0,0,0,0,227.0,113.0,373.0,1059.0,1063.0,516.0,2.0,2.0,102.0,137.0,38.0,29.0
17031842100,0,14.0,0.21,0,1,0,1,1,1,27.2,0,1,0,1,0,0,0,1,4691.0,1960.0,541.0,1239.0,4027.0,35.0,6.0,42.0,1382.0,2562.0,296.0,890.0
17031842200,0,0.0,0.0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,806.0,449.0,236.0,1292.0,1016.0,208.0,0.0,5.0,82.0,135.0,480.0,265.0
17031842300,0,192.0,5.92,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,591.0,349.0,195.0,2281.0,551.0,166.0,7.0,13.0,226.0,349.0,187.0,41.0
17031842400,0,0.0,0.0,0,0,0,0,0,1,27.4,0,0,0,0,0,0,0,0,1379.0,725.0,648.0,31.0,3195.0,8.0,0.0,7.0,63.0,40.0,365.0,337.0
17031842500,0,5.0,0.2,0,0,0,0,0,1,63.4,0,0,0,0,0,0,0,0,1670.0,1173.0,109.0,7.0,2413.0,7.0,0.0,5.0,19.0,20.0,642.0,585.0
17031842600,0,5.0,0.12,0,1,0,0,0,1,11.8,0,1,0,1,0,0,0,0,1326.0,1174.0,386.0,2675.0,154.0,414.0,0.0,34.0,856.0,1524.0,228.0,219.0
17031842800,0,0.0,0.0,0,1,0,1,1,1,39.5,0,1,0,1,0,0,0,1,4923.0,2628.0,432.0,3642.0,99.0,139.0,3.0,58.0,3557.0,6699.0,355.0,535.0
17031842900,0,0.0,0.0,0,0,0,0,0,1,43.6,0,0,0,0,0,0,0,0,1750.0,567.0,400.0,343.0,1862.0,25.0,0.0,2.0,109.0,152.0,691.0,471.0
17031843000,0,5.0,0.21,0,0,0,0,0,1,42.5,0,0,0,0,0,0,0,0,2002.0,718.0,292.0,7.0,2329.0,1.0,0.0,4.0,37.0,43.0,379.0,586.0
17031843100,0,174.0,9.2,0,1,0,0,0,1,48.2,0,1,0,1,0,0,0,0,1191.0,541.0,157.0,111.0,1727.0,12.0,0.0,3.0,39.0,57.0,216.0,202.0
17031843200,0,24.0,0.86,0,0,0,0,0,1,24.4,0,0,0,0,0,0,0,0,1017.0,806.0,175.0,1387.0,82.0,54.0,0.0,13.0,1244.0,2352.0,219.0,162.0
17031843300,0,220.0,17.92,0,1,0,0,0,1,44.8,0,1,0,1,0,0,0,0,1170.0,315.0,95.0,190.0,770.0,10.0,1.0,8.0,249.0,401.0,113.0,178.0
17031843400,0,0.0,0.0,0,0,0,0,0,1,31.1,0,0,0,0,0,0,0,0,764.0,357.0,202.0,78.0,1311.0,0.0,1.0,9.0,52.0,130.0,195.0,176.0
17031843500,1,10273.0,90.84,0,0,0,0,0,1,34.3,0,0,0,0,0,0,0,0,703.0,522.0,228.0,3188.0,7603.0,21.0,1.0,22.0,474.0,2205.0,6.0,73.0
17031843600,0,0.0,0.0,0,0,0,0,0,1,22.5,0,0,0,0,0,0,0,0,1292.0,775.0,270.0,65.0,2653.0,10.0,0.0,3.0,76.0,47.0,449.0,479.0
17031843700,0,1.0,0.05,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,349.0,474.0,171.0,1656.0,106.0,88.0,1.0,19.0,247.0,516.0,143.0,77.0
17031843800,0,0.0,0.0,0,1,0,1,1,1,23.0,0,1,0,1,0,0,0,1,846.0,611.0,207.0,616.0,1119.0,110.0,0.0,23.0,242.0,380.0,182.0,199.0
17031843900,0,26.0,0.74,1,1,1,1,1,1,28.4,1,1,1,1,1,0,0,1,1700.0,635.0,563.0,129.0,3261.0,43.0,0.0,14.0,86.0,63.0,730.0,485.0
